label,negative_prob,positive_prob,confidence,comments
0,0.9904459999999999,0.00955384,0.978769,这张三丰一点清新脱俗的世外高人的感觉都没有
0,0.600003,0.399997,0.11111800000000001,张五侠的铁画银钩被导演吃了
0,0.9969530000000001,0.00304747,0.9932280000000001,我都没生，芷若都这么老了
0,0.994541,0.00545927,0.9878680000000001,老爸是最苦的啥都知道但啥都不能说可怜
1,0.00173322,0.998267,0.9961479999999999,特别喜欢建国不知道为啥
0,0.9919,0.00809968,0.982001,这个版本峨眉山额头上怎么没有红点
1,0.00173154,0.998268,0.996152,这种拍灯的方式还挺不错的
1,0.045015,0.9549850000000001,0.899967,为了所有的女角色而来！！
0,0.729979,0.270021,0.399953,张无忌:打戏也太多了
0,0.9978370000000001,0.00216276,0.995194,那么重要的东西说丢就丢了？
0,0.967484,0.0325159,0.927742,还没小戏骨演戏演的好啊
1,0.24328000000000002,0.75672,0.45937799999999995,张无忌:动作导演是仙剑奇侠传的导演
0,0.611717,0.388283,0.137149,张无忌:把丁敏君看成王珞丹了
1,0.24328699999999998,0.756713,0.45936099999999996,罗哥当面调侃几位央视主播的时候也是现挂
0,0.9596819999999999,0.0403185,0.9104030000000001,小明兰嘛那不是，我就说看着眼熟
0,0.9908110000000001,0.00918947,0.9795790000000001,不是冷血了，看回忆就理解了
0,0.916308,0.0836919,0.814018,天鹰教这个锅背的挺冤的
0,0.9942489999999999,0.00575092,0.9872200000000001,说没素质的先了解一下她二哥多混蛋
0,0.996799,0.00320103,0.9928870000000001,张无忌:冰不冷么？？？
0,0.9996209999999999,0.000379001,0.999158,不就是个殷素素吗，放两片嘴唇什么意思
1,0.0770711,0.9229290000000001,0.828731,翠山这会扎心了.原来你是这样的女人
1,0.000186352,0.999814,0.9995860000000001,最后一期评委爱了爱了都是我喜欢的
0,0.995143,0.00485659,0.989208,武当耍刀，导演你尊重下金大侠好吗！！！！
0,0.999878,0.000122481,0.9997280000000001,你不是会飞吗我信你个鬼
1,0.147573,0.852427,0.672061,我师伯都眨了好几下眼睛了好不好
1,0.00505909,0.994941,0.988758,我感觉学琴不是比赛的看比赛的拍灯的哈哈
0,0.9966200000000001,0.00338003,0.992489,对啊，你们是魔鬼片头曲都不放我
0,0.9945709999999999,0.00542926,0.987935,芷若，你咋成灭绝了，芷若。
0,0.780942,0.219058,0.513205,我把民政局搬来了，你们俩看着办吧！加油王建国李雪琴
